sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
HD3910.1;soil moisture, soil temperature;https://www.deltaohm.com/wp-content/uploads/document/DeltaOHM_HD3910_datasheet_ENG.pdf;DeltaOHM;;DeltaOhm-HD3910;dielectric constant;FDR-Capacitance
PR1;soil moisture;https://delta-t.co.uk/wp-content/uploads/2017/02/PR2_user_manual_version_5.0.pdf;Delta-T Devices;profile sensor, old version;DeltaT-PR1;dielectric constant;FDR-Capacitance
PR2;soil moisture;https://delta-t.co.uk/wp-content/uploads/2017/02/PR2_user_manual_version_5.0.pdf;Delta-T Devices;profile sensor;DeltaT-PR2;dielectric constant;FDR-Capacitance
TDR_MUX_MPTS;soil moisture;https://www.e-test.eu/uploads/5/4/4/3/54435037/manual_fommts_tdrmuxmpts_v1.41.pdf;E-TEST;;E-Test-TDR;dielectric constant;TDR
Druck 0-69.4;;;;;Pressure-sensor;;
EC-ET;;;;;EC-ET;;
Tipping Bucket Rain Gauge Ecotech;precipitation;;Ecotech;;Ecotech-rain-gauge;;
ECRN-100;precipitation;https://library.metergroup.com/Quick%20Start%20Guides/18292_ECRN-100_Web.pdf;METER Group;;Meter-ECRN-100;;
EnviroSCAN;soil moisture;https://sentektechnologies.com/wp-content/uploads/2022/02/SEN5226_A4_EnviroSCAN_ProductBrochure_4LR_FINAL-1.pdf;Sentek;;Sentek-EnviroSCAN;dielectric constant;FDR-Capacitance
EnviroSMART;soil moisture;https://s.campbellsci.com/documents/ca/manuals/envirosmart_man.pdf;Campbell Scientific / Sentek;;Sentek-EnviroSMART;dielectric constant;FDR-Capacitance
External Temperature Sensors;;;;;Temperatur-unkown;;
Flower Power;soil moisture;https://www.parrot.com/assets/s3fs-public/2021-09/flower-power_user-guide_uk.pdf;Parrot;;Parrot-flower-power;dielectric constant;FDR-Capacitance
FM100;;;;;FM100;;
FY-H2;soil moisture;;Fu Yuanfeike Co Ltd;;FY-H2;;
FY-T1;air temperature;;Fu Yuanfeike Co Ltd;;FY-T1;;
