network_abbr;orig_flag_name;orig_flag_description
TERENO;6_3035;checked automatically - suspicious_changeflow/positionsensor
TERENO;6_3036;checked automatically - suspicious_technicaldisturbance
TERENO;6_3037;checked automatically - suspicious_maintenancedisturbance
TERENO;6_3043;checked automatically - suspicious_backwater
TERENO;6_3044;checked automatically - suspicious_nodatachange
TERENO;6_3045;checked automatically - suspicious_leaking tank
TERENO;6_3046;checked automatically - suspicious_check for sensor drift
TERENO;6_3048;checked automatically - suspicious_inconsistent time period
TERENO;6_3049;checked automatically - suspicious_tillage
TERENO;6_3053;checked automatically - suspicious_sensor reports malfunction
TERENO;6_3070;checked automatically - suspicious_Rewetting
TERENO;6_4004;checked automatically - baddata_baddata
TERENO;6_4010;checked automatically - baddata_autosampler
TERENO;6_4011;checked automatically - baddata_min
TERENO;6_4012;checked automatically - baddata_max
TERENO;6_4013;checked automatically - baddata_irregular
TERENO;6_4017;checked automatically - baddata_missing
TERENO;6_4018;checked automatically - baddata_outoforder
TERENO;6_4019;checked automatically - baddata_isolatedspike
TERENO;6_4020;checked automatically - baddata_unplausiblevariation
TERENO;6_4021;checked automatically - baddata_data transfer disturbed
TERENO;6_4022;checked automatically - baddata_data not plausible
TERENO;6_4023;checked automatically - baddata_frozen
TERENO;6_4024;checked automatically - baddata_badquality
TERENO;6_4028;checked automatically - baddata_change sensor MPS
TERENO;6_4033;checked automatically - baddata_noisydata
TERENO;6_4034;checked automatically - baddata_temperature effects
TERENO;6_4035;checked automatically - baddata_changeflow/positionsensor
